item_id,name,category,subcategory,description,price
I001,Coral Tote,Handbags,Tote,"This tote is a key piece from our Pre-Fall 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of LightCoral and LightSeaGreen complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this tote is a standout from our curated selection.",2529.88
I002,Green Sneakers,Footwear,Sneakers,"This sneakers is a key piece from our Spring/Summer 2025 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of Moccasin and WhiteSmoke complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this sneakers is a standout from our curated selection.",2955.69
I003,PowderBlue Jacket,Outerwear,Jacket,"This jacket is a key piece from our Spring/Summer 2025 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of SaddleBrown and MediumPurple complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from nature's symmetry. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this jacket is a standout from our curated selection.",1719.88
I004,IndianRed Scarf,Accessories,Scarf,"This scarf is a key piece from our Pre-Fall 2024 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of MediumBlue and OldLace complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this scarf is a standout from our curated selection.",2169.88
I005,SandyBrown Scarf,Accessories,Scarf,"This scarf is a key piece from our Fall/Winter 2024 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a urban chic silhouette, ideal for versatile day-to-night looks. Its color palette of DarkBlue and Gold complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this scarf is a standout from our curated selection.",1548.09
I006,MediumAquaMarine Coat,Outerwear,Coat,"This coat is a key piece from our Pre-Fall 2024 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of Indigo and Pink complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this coat is a standout from our curated selection.",2623.15
I007,Silver Gloves,Accessories,Gloves,"This gloves is a key piece from our Fall/Winter 2024 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of White and DarkRed complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",2803.17
I008,Aquamarine Loafers,Footwear,Loafers,"This loafers is a key piece from our Resort 2025 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of RoyalBlue and Gray complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this loafers is a standout from our curated selection.",1972.46
I009,MediumSpringGreen Gloves,Accessories,Gloves,"This gloves is a key piece from our Fall/Winter 2024 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of BlanchedAlmond and PaleVioletRed complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from Parisian street style. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",862.8
I010,MediumSpringGreen Loafers,Footwear,Loafers,"This loafers is a key piece from our Spring/Summer 2025 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of Purple and MediumSpringGreen complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this loafers is a standout from our curated selection.",2242.14
I011,Gray Boots,Footwear,Boots,"This boots is a key piece from our Fall/Winter 2024 lineup, crafted in premium French silk. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of IndianRed and CornflowerBlue complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from Parisian street style. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this boots is a standout from our curated selection.",2675.99
I012,LightCoral Belt,Accessories,Belt,"This belt is a key piece from our Pre-Fall 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of Black and MediumTurquoise complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this belt is a standout from our curated selection.",1887.57
I013,FireBrick Sneakers,Footwear,Sneakers,"This sneakers is a key piece from our Fall/Winter 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of SpringGreen and LightCyan complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this sneakers is a standout from our curated selection.",2378.0
I014,Linen Coat,Outerwear,Coat,"This coat is a key piece from our Fall/Winter 2024 lineup, crafted in premium French silk. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a urban chic silhouette, ideal for versatile day-to-night looks. Its color palette of SeaGreen and DeepPink complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this coat is a standout from our curated selection.",2063.49
I015,MediumPurple Gloves,Accessories,Gloves,"This gloves is a key piece from our Resort 2025 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of DimGray and LightGoldenRodYellow complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from nature's symmetry. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",2826.6
I016,HoneyDew Jacket,Outerwear,Jacket,"This jacket is a key piece from our Spring/Summer 2025 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of Khaki and LightPink complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from Parisian street style. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this jacket is a standout from our curated selection.",2839.93
I017,MediumPurple Belt,Accessories,Belt,"This belt is a key piece from our Spring/Summer 2025 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of PaleGoldenRod and DarkOrchid complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this belt is a standout from our curated selection.",2708.39
I018,Teal Scarf,Accessories,Scarf,"This scarf is a key piece from our Fall/Winter 2024 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a urban chic silhouette, ideal for versatile day-to-night looks. Its color palette of Coral and Orchid complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this scarf is a standout from our curated selection.",2537.93
I019,Maroon Sneakers,Footwear,Sneakers,"This sneakers is a key piece from our Resort 2025 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of Peru and AntiqueWhite complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this sneakers is a standout from our curated selection.",1574.23
I020,NavajoWhite Coat,Outerwear,Coat,"This coat is a key piece from our Resort 2025 lineup, crafted in premium French silk. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a urban chic silhouette, ideal for versatile day-to-night looks. Its color palette of Olive and DarkKhaki complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this coat is a standout from our curated selection.",2886.84
I021,FloralWhite Clutch,Handbags,Clutch,"This clutch is a key piece from our Pre-Fall 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a urban chic silhouette, ideal for versatile day-to-night looks. Its color palette of MediumPurple and DeepSkyBlue complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this clutch is a standout from our curated selection.",2698.97
I022,LightSteelBlue Gloves,Accessories,Gloves,"This gloves is a key piece from our Pre-Fall 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of Beige and LemonChiffon complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from Parisian street style. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",2940.04
I023,SteelBlue Scarf,Accessories,Scarf,"This scarf is a key piece from our Spring/Summer 2025 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of GhostWhite and Coral complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this scarf is a standout from our curated selection.",2568.0
I024,Orchid Jacket,Outerwear,Jacket,"This jacket is a key piece from our Spring/Summer 2025 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of SeaGreen and Thistle complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this jacket is a standout from our curated selection.",2073.08
I025,Lavender Gloves,Accessories,Gloves,"This gloves is a key piece from our Resort 2025 lineup, crafted in premium French silk. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of Brown and Blue complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",2522.81
I026,MediumBlue Gloves,Accessories,Gloves,"This gloves is a key piece from our Spring/Summer 2025 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of GreenYellow and LemonChiffon complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",2997.07
I027,DarkOrange Tote,Handbags,Tote,"This tote is a key piece from our Resort 2025 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of WhiteSmoke and LightSlateGray complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from nature's symmetry. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this tote is a standout from our curated selection.",2385.51
I028,Purple Sneakers,Footwear,Sneakers,"This sneakers is a key piece from our Fall/Winter 2024 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of DarkGreen and Indigo complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from Parisian street style. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this sneakers is a standout from our curated selection.",2505.83
I029,CornflowerBlue Coat,Outerwear,Coat,"This coat is a key piece from our Pre-Fall 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of Orange and Plum complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this coat is a standout from our curated selection.",766.88
I030,BlueViolet Coat,Outerwear,Coat,"This coat is a key piece from our Spring/Summer 2025 lineup, crafted in premium French silk. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of MediumSlateBlue and Tomato complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this coat is a standout from our curated selection.",1999.12
